其他名称,详情描述,地区,动画种类,原版名称,原作,制作公司,首播时间,播放状态,剧情类型,标签,官方网站
钢之炼金术师 叹息之丘的圣星,《钢之炼金术师：叹息之丘的圣星》是荒川弘原作漫画《钢之炼金术师》的衍生剧场版动画，于2011年7月2日在日本公映。,日本,剧场版,鋼の錬金術師 嘆きの丘の聖なる星,荒川弘,BONES,2011-07-02,完结,冒险 奇幻 热血 战斗,冒险 奇幻 热血 战斗,https://www.hagaren-movie.net/
变态生理研究会,动画《变研会（変ゼミ）》是根据由日本漫画家TAGRO原作的同名漫画改编、动画公司XEBEC负责制作的动画。,日本,TV,変ゼミ,TAGRO,XEBEC,2011-04-08,完结,搞笑 校园,搞笑 校园,http://kc.kodansha.co.jp/hensemi/
食梦者 第二季,《食梦者》是大场鸫和小畑健继《死亡笔记》之后再度合作的作品。主人公真诚是一名初三的学生，和大多数人一样对未来并没有什么打算，只想顺其自然的生活，他有着绘画的才能同时暗恋着同班的亚豆。就在一天下课后，他发现自己画有亚豆肖像的笔记本忘在学校了，为了防止被别人发现这个秘密，他急速的跑回了学校。而他的笔记本已经被一个人拿在了手里，那个人是高木。高木对想要拿回笔记本的真诚提出了一个条件：我来写剧本，你来绘画，让我们一起成为漫画家吧。为梦想，两人踏上成为漫画家的道路。本作为2011年秋番档期播放的第二季。,日本,TV,バクマン。2,大場つぐみ / 小畑健,J.C.STAFF,2011-10-01,完结,搞笑 爱情 励志 职场,搞笑 爱情 励志 职场,http://www9.nhk.or.jp/anime/bakuman/
T.P.樱,著名galgame游戏改编动漫《初音岛》系列OVA新作《T.P 樱》。讲述了穿越时空的历史守护者、萝莉版的芳乃樱大活跃的故事。,日本,OVA,T.P.さくら,Circus,NOMAD,2011-01-27,完结,搞笑 奇幻,搞笑 奇幻,http://tps-project.jp/
世界第一初恋,《世界第一初恋》是根据中村春菊创作的同名漫画改编的动画作品，由Studio DEEN制作，于2011年4月8日首播。续作《世界第一初恋2》于2011年10月7日起播出。,日本,TV,世界一初恋,中村春菊,Studio DEEN,2011-04-08,完结,耽美 女性向,耽美 女性向,http://sekai-ichi.jp/
萤火之森,某年夏天，6岁小女孩竹川萤来到爷爷家度假，她闯进了传说住满妖怪的山神森林。正当她因为迷路而焦急万分的时候，一个戴着狐狸面具的大男孩出现在她面前，并引领着萤找到回家的路。虽然萤分外感激，可是男孩却禁止她碰触自己的身体，原来这名叫银的男孩并非人类，他一旦被人类碰触就会烟消云散。在此后的日子里，萤和银成为好朋友，他们走遍了森林的每一个角落玩耍。日复一日，年复一年，每到夏天的时候萤就会如约来到森林和好朋友见面。她遵守着和银的约定，无论如何也不碰触银的身体。随着年龄的增长，萤和银对彼此的情感都悄悄发生了变化，他们共同期待相聚的日子，共同期待拥抱对方……,日本,剧场版,蛍火の杜へ,緑川ゆき,Brain's Base,2011-09-17,完结,奇幻 爱情 治愈,奇幻 爱情 治愈,http://www.hotarubi.info/
未来都市NO.6,《未来都市No.6》是根据浅野敦子创作的同名小说改编的动画，由骨头社（BONES）担任制作。动画主要讲述了紫苑和老鼠之间的冒险和羁绊，于2011年7月7日在日本播出。,日本,TV,NO.6,あさのあつこ,BONES,2011-07-07,完结,科幻 耽美,科幻 耽美 女性向,http://www.no-6.jp/
境界线上的地平线,《境界线上的地平线》是以“都市系列”驰名的川上稔创作、さとやす负责插画的轻小说，其故事时代背景为GENESIS大机盘时代。,日本,TV,境界線上のホライゾン,川上稔,SUNRISE,2011-10-01,完结,科幻 后宫 战斗,科幻 后宫 战斗,http://genesis-horizon.net/
侵略！乌贼娘 第二季,在去年意外地成为了黑马的10月番作品「侵略！乌贼娘」，凭著对陆上生活无知，又有少许自负，但又非常聪明的乌贼娘，自播出以来人气便急剧上升。虽然乌贼娘只播放了短短的一季，但让我们体验了她那萌点之后，实在太多的动画迷也表示太短了。而在上周的「周刊少年Champion」上，却预告了次号将有重大发表，而来到这周，这个重大发表也终于在今号的「周刊少年Champion」给揭开了，那就是大家所期望与所猜到的一様——乌贼娘侵略计划再来——动画二期正式宣布制作开始!!,日本,TV,侵略!?イカ娘,安部真弘,diomedéa,2011-09-27,完结,搞笑 百合 治愈,搞笑 百合 治愈,http://www.ika-musume.com/
曾几何时天魔的黑兔,主人公铁大兔幼时在公园曾遇到最古老的魔术师希梅亚，她将自己的“毒”注入大兔体内，让他再也离不开自己…。经过多年后，已经是宫阪高中一年级生的大兔遗忘了这段记忆，不再相信自己是主角，也不再相信努力就能得到回报的幻想，就这样虚度每一天。他忘了希梅亚的笑容，忘了他们之间的“约定”，也忘了那融入血肉的诅咒。但“她”仍然在理应已经失去的回忆中微笑，而一段校园奇幻故事也将就此展开…。,日本,TV,いつか天魔の黒ウサギ,鏡貴也,ZEXCS,2011-07-08,完结,校园 奇幻 战斗,校园 奇幻 战斗,http://www.itsu-ten.jp/
