其他名称,详情描述,地区,动画种类,原版名称,原作,制作公司,首播时间,播放状态,剧情类型,标签,官方网站
天荒战神,地脉方兴，天荒欲破。天荒世界，人族只是无比弱小的族种，面临严峻的生存危险，又是其他种族的血食。人族四大守护年事已高，还没能找到合适的接班人，最后四人决定，将自身的血肉融入天荒大地，凭天地意志选择新的接班人。 数年之后，姬水村的第一天才——姬小发为神秘女子禹雪所骗，失去了自身的命轮，从而沦落为废人，彻底自暴自弃。 这一天，护神山的人来到了姬水村，他们接走了资质出众的孩童，以作为下一任的护神山接班人。 姬小发命轮破碎，无法一同前往，便只好前往狐爷家，进行修炼。 另外一边，荒蛮野兽正在肆意入侵人族部落，一个接着一个的强大反派正慢慢得袭入人族部落，姬小发所面临的彼岸，又将会是什么？,中国,WEB,天荒战神,肉迦馍,暂无,2020-11-18,连载,奇幻 玄幻 战斗,奇幻 玄幻 战斗,暂无
吞噬星空,某一天，地球上出现了不明来由的RR病毒，将世界卷入灾难之中。受到感染的动物变异成为可怕的怪兽，大举入侵，人类面临毁灭之际筑起了围墙，成立基地市作为人类最后的堡垒。人类在这一段时间经历的磨难，被称为“大涅槃时期”。在极端的生存环境下，人类的体能也在逐渐地进步发展，尚武之风兴起，人类的身体素质相比以前有了质的飞越。而这其中的佼佼者，被称为“武者”。,中国,WEB,吞噬星空,我吃西红柿,玄机科技,2020-11-29,连载,奇幻 玄幻 战斗,奇幻 玄幻 战斗,暂无
雏蜂 伊甸之子,普通高中生孙浩轩在遇到了“尖兵”少女琉璃后，发现自己习以为常的城市，却是一个专门为其而搭建的“楚门的世界”。,中国,TV,雏蜂 伊甸之子,白猫,暂无,2020-11-18,完结,科幻 战斗,科幻 战斗,http://weibo.com/u/6516179447
动态漫画·斗破苍穹 第三季,动态漫画《斗破苍穹》系列第3期。,中国,WEB,动态漫画·斗破苍穹 第三季,天蚕土豆,暂无,2020-12-04,完结,奇幻 玄幻,奇幻 玄幻,暂无
埃及神明们的日常,这里是埃及神明们居住的世界。主人公阿努比斯的工作是，与好友托托一起引导人类的灵魂进行审判。 神出鬼没的猫神贝斯特，不清楚在想什么的梅杰德。埋头打工的荷鲁斯，不知为何一直想要对荷鲁斯恶作剧却频频失败的赛特等等。,日本,WEB,とーとつにエジプト神,yuka,台风Graphics,2020-12-07,完结,搞笑 奇幻,搞笑 奇幻,https://to-to2ni-anime.jp/
奥特银河格斗 巨大阴谋,宇宙发生了异变，新的强敌出现！许多不该出现的凶恶怪兽和外星人纷纷出现！有人在偷偷谋划一场巨大的阴谋，如今，阴谋渐渐浮出水面。众多奥特战士们联手，前来解开谜团的真相。,日本,WEB,奥特银河格斗 巨大阴谋,暂无,圆谷制作,2020-11-30,完结,科幻 特摄 战斗,科幻 特摄 战斗,https://m-78.jp/galaxy-fight/tac/
邪王追妻 第二季,废柴小姐苏落得到晋王南宫流云的另眼相看，测定她是木火双系，并且还拥有这片大路上绝迹的空间力量。南宫为救苏落身受重伤，陷入灵魂紊乱的绝命境地。苏落为还人情，找来炼药大师容云救治南宫流云，两人也经容云指点，决定携手共同成长。苏落发现容云不仅是炼药大师还是空间法师，便下定决心要拜容云为师。也正是因为此事苏落发现自己身世成迷…,中国,X,邪王追妻2：一世倾城,苏小暖,暂无,2020-12,完结,搞笑 奇幻 爱情,搞笑 奇幻 爱情,暂无
万界法神,末法历2020年，因为魔法元素枯竭而走到了文明尽头的斯特恩大陆，在虚空风暴下迎来了大陆的毁灭。 大陆最后的法神叶玄，意外苏醒在了三千年前魔法文明鼎盛的时代，成为了大陆西北奥兰多王国边境西斯魔法学院的一名普通学生。 为了拯救大陆，让末日不再来临，叶玄开始探寻三千年前导致大陆魔法元素枯竭的黑暗动乱之谜，阻止大陆危机。 精灵族、巨龙、比蒙、兽族……一个个鲜活的种族，蓬勃的生机，辉煌的大陆，让叶玄愈发的清楚自己的使命。 万界法神，这个美好的世界，这一世将由我叶玄来拯救！,中国,WEB,万界法神,暂无,暂无,2021-01-01,完结,奇幻 玄幻,奇幻 玄幻,暂无
暗界神使 日语版,主人公姜爻为寻找失踪的友人萧远，偷偷潜入一幢废弃别墅调查，却阴差阳错地被一道神秘黑影所盯上，差点万劫不复。然而这却只是厄运的开始，连环事件的背后，姜爻逐渐发现跟着自己的，竟是一个“本不该存在”之人。,中国,WEB,暗界神使,火红森林,海岸线动画工作室,2020-12-25,完结,奇幻 耽美,奇幻 耽美,暂无
末世觉醒之溯源,这个星球被DS（达摩克里斯）科技军队占领，强AI（人工智能系统）是这个军队的首领。反抗AI和DS的鹰隼部队，对疯狗镇（DS试验场）进行肃清。原为疯狗镇电工却拥有既视感（短暂预测未来）的马三、神秘女子洛凝和改造人翎以及黑客小海一同反抗并逃亡。疯狗镇的主人（“神父”莫比）乘火箭逃离殖民星球，疯狗镇的众人即将被火箭烈焰活活烧死，马三为救众人连接了AI天眼卫星，成功阻止神父并和众人逃出了疯狗镇，这一举动暗示马三可能来自DS，马三也开始对既视感的来源产生怀疑？ 众人来到被一群末世难民占领的废弃驿站，这里的首领封子昂认出马三，称呼他为长官，随即自愿帮助马三找回记忆，但殊不知，这只是一场阴谋的前奏……,中国,WEB,末世觉醒之溯源,暂无,暂无,2020-12-29,连载,科幻 战斗,科幻 战斗,暂无
星骸骑士,未来，人类对宇宙的探索进入了繁盛时代。机械师陈末本以为能搭乘星际飞船顺利达到人类开发的新世界——野原星。没想到一觉醒来，野原星成为一片焦土，而队友都变成了可怕的傀儡怪物。陈末并不知道，在休眠舱沉睡的几百年间，人类已经建立了星际联邦，野原星发生异变生灵涂炭。为什么我还活着？——怀着无数疑问，陈末修复了四名性格各异、功能不同的机器人助手，在他们的帮助下每天打怪求生、囤积物资，准备重返地球家园。然而一名从天而降的外星女人彻底打乱了他的归程计划，这位名叫克莱缇的美丽索恩贵族女爵，将倒霉的陈末带向了更大的麻烦之中……,中国,WEB,星骸骑士,暂无,暂无,2020-12-30,连载,科幻 战斗,科幻 战斗,暂无
九夜神传,灵界之初，阴阳未分，瞑涬鸿蒙，后大道萌芽，灵神生其中，灵神创灵界万物，并于源神谷将自身力量化作【九件圣天灵器】，维持灵界稳定，生生不息。 灵界人族——炬皇，懵然中发现修炼大道碎片【灵气】的方法，以此成为第一代统治人族的王者，他发现了源神谷的强大力量，于是深入源神谷，妄图以凡人之躯掌握神之伟力，然圣天灵器异常强大非凡人所能染指，炬皇最终被强大的灵力吞噬，炬皇临终前有言：继承九件圣天灵器者，获永生，与天地齐寿。 现如今，普通人只能生活在圣天灵器护佑的城市之中，灵界被玄阳，月族和山海联盟分割，三足鼎立，勉强维持着表面的和平… 影月族族长之女影月琉璃作为影月族的继承人，天赋异禀，族人都希望她可以带着影月族重新崛起。但是琉璃却只想过简单轻松的生活，当一条咸鱼。,中国,WEB,九夜神传,暂无,暂无,2020-12-28,完结,奇幻 玄幻,奇幻 玄幻,暂无
长安幻街,贞冠元年，人族以天璇为首的宗门之士，大兴方术，与异族之人各持两界，相互对立。 数年前，洛灵城中，有一条名为长安幻街的街道，因为异震的缘故，意外连通了两界，为了避免长安乃至整个洛灵城沦为两界交战的战场。住在此处的异人，一边同时做着两界的生意，一边小心翼翼的维护着此处连通两界的秘密。 人族少年顾少宁，在一次误打误撞之下，来到了长安幻街，并且结识了生活在这条街上异族之人。同时，少年原本平凡的命运，也因为发现了这条长安幻街的秘密，而发生了翻天覆地的改变。 命运之轮一旦开启，便只能推撵着少年不断的成长向前，却也因此，将他一步一步的卷入了宗门与异族争斗的旋涡之中.....,中国,WEB,长安幻街,暂无,暂无,2020-12-31,连载,历史 奇幻 战斗,历史 奇幻 战斗,暂无
鬼灭之刃特别编集版 柱合会议・蝶屋敷篇,动画《鬼灭之刃》的第22话~第26话组成的“灶门炭治郎立志篇”的完结篇，,日本,TV,鬼滅の刃 柱合会議・蝶屋敷編,吾峠呼世晴,暂无,2020-12-20,完结,奇幻 冒险,奇幻 冒险,暂无
氪金玩家,装逼如风，长伴吾身！作为氪金玩家，他拥有炫酷的职业、装备，更是习惯了在龙套们的震惊中低调的进行自己的“基本消费”。游戏世界，没有什么是钱解决不了的！,中国,WEB,氪金玩家,八大三小,暂无,2020,完结,奇幻 游戏,奇幻 游戏,暂无
光之美少女剧场版 Miracle Leap 与大家不可思议的一天,某个星期六，和佳、知优与日向在做完作业后打算一起去赏花，意外遇见了来自明日的精灵米拉库伦，此刻她正在被大反派——来自昨日的精灵利夫雷因追捕著，后者妄图制造“永远不会有明天的世界”以达到摧毁所有人未来为目标。为了保护米拉库伦及大家的未来，和佳、知优与日向所在的元气魔法♥光之美少女将会与星光闪亮☆光之美少女以及HUG! 光之美少女的成员一起，即将展开一场夺回明日的战斗与大冒险！,日本,剧场版,映画 プリキュアミラクルリープ みんなとの不思議な1日,暂无,東映動画,2020-10-31,完结,奇幻 励志 亲子,奇幻 励志 亲子,https://spring.precure-movie.com/
天地无用! 魉皇鬼 第五季,柾木神社的继承人柾木天地，是非常普通，随处可见的青年。天地期待的弟弟诞生了，他的名字叫做「柾木剑士」。虽然是命中注定要单独前往异世界的少年，但他毫不畏惧命运，在周围的人们守护下健康地成长。然而这只是将天地、剑士和柾木家，还有住在地球上的正木一族及树雷，甚至与宇宙有关的人们全都牵扯仅来的壮大序章罢了。,日本,OVA,天地無用! 魎皇鬼 第五期,梶島正樹 / AIC,AIC,2020-02-28,连载,搞笑 科幻,搞笑 科幻,http://tenchimuyo5th.com
爱情可以分割吗,动画《爱情可以分割吗？》改编自一穗ミチ著、竹美家らら插画同名小说作品，于2019年10月31日宣布了动画化的决定。2020年12月日本公映。,日本,剧场版,イエスかノーか半分か,一穂ミチ,暂无,2020,完结,耽美 女性向,耽美 女性向,暂无
阿萨里尔未来的民间故事,电视动画《阿萨里尔未来的民间故事》是东映动画与沙特动画公司Manga Productions联合制作的动画。动画于2020年4月4日播出。,日本,TV,アサティール 未来の昔ばなし,暂无,东映动画,2020-04-04,完结,科幻 治愈,科幻 治愈,https://c.myjcom.jp/jtele/p/J00000005030/index.html
西行纪之再见悟空,改编自动漫IP《西行纪》，天界公主素衣在凡间与孙悟空结识，情投意合。但悟空却被其他天神当成凡间妖物暴力对待，镇压在了五指山下。三百年来，如来大神用行动感化悟空，教会悟空如何坚守心中正义。孙悟空保护唐三藏前往彼岸世界取回创世之火以造福世间，历经波折后终于归来，却发现巨大的阴谋浮出水面，师徒几人的命运也就此被改写。,中国,WEB,西行纪之再见悟空,暂无,暂无,2020-05,完结,奇幻 热血 战斗,奇幻 热血 战斗,暂无
数码宝贝20周年 纪念故事,「デジモンアドベンチャー20th メモリアルストーリー」は、映画『デジモンアドベンチャー LAST EVOLUTION 絆』の前日譚やサイドストーリーなど、映画本編では描ききれなかった映像や、大人になった彼らとデジモンたちの日常などを描いた特別な物語を短編アニメーションとして制作された全5話の作品です。,日本,WEB,デジモンアドベンチャー20th メモリアルストーリー,本郷あきよし,暂无,2020-02-01,完结,奇幻 冒险,奇幻 冒险,暂无
假面骑士 令和第一世代,时王，退幕之日；零一，诞生之日。绝对不可以交汇！2019年，世界已经被人工智能修码吉亚统治，身处不同世界的假面骑士零一和假面骑士时王奇迹般地相遇了。虽然他们都是为了拯救世界，但二人最终是会携手战斗还是相互为敌？父亲的梦想、儿子的梦想……当各自的想法发生碰撞之时，未来究竟会怎样…！？,日本,WEB,假面骑士 令和第一世代,暂无,暂无,2020-05-13,完结,科幻 特摄 战斗,科幻 特摄 战斗,暂无
真理面具 动态漫,高中生无免偶然获得了一副戴上后无论做什么都会被人绝对认同的面具，然而即便如此他也没能鼓起勇气向暗恋的女生告白。直到发生那个将他的生活完全颠覆的事件……,中国,WEB,真理面具,悍跳的铁头狼,暂无,2020-10-28,完结,校园 热血 战斗,校园 热血 战斗,暂无
工作细胞！！最强之敌再临，体内肠道大骚动！,由漫画家「清水茜」以人类体内为舞台所创作的作品《工作细胞》，原本只是「为了苦读生物的妹妹」而诞生的科普漫画，但借由各式「细胞拟人化」让原本生硬无趣的细胞知识，变得生动有趣且更贴近人心。而本次的《工作细胞》特别上映版 「强『菌』来袭！人体肠道大骚动！」，将以原作漫画第五集，将胃、小肠、大肠等消化器官做为舞台，描绘出细胞们为了守护身体健康的伟大故事。,日本,剧场版,「はたらく細胞!!」最強の敵、再び。体の中は“腸”大騒ぎ！,清水茜,david production,2020-09-05,完结,科幻 战斗,科幻 战斗,https://hataraku-saibou.com/gekijou.html
我是大神仙,年仅七岁却超速生长的短命神童时江，为恢复正常生活，带着寄宿体内的某位大神仙闯入仙界，从此在异世中和神仙们斗智斗勇，走上成为仙界大亨的传奇之路！,中国,WEB,我是大神仙,盛世卡漫,中影年年,2020-11-12,完结,奇幻 玄幻,奇幻 玄幻,暂无
名侦探柯南 红之校外旅行,《名侦探柯南：红之校外旅行 鲜红篇&恋红篇》为柯南系列特别篇，为《名侦探柯南》第290个案件。故事讲述柯南在暂时恢复为工藤新一时，恰巧为帝丹高中校外旅行时期，一行人前往京都参访，在清水寺认识了女演员鞍知景子，新一被请托解读暗号，却在过程中遇上杀人事件，犯罪现场更留下疑似天狗袭击的痕迹。在一连串的骚动中，新一能否解开暗号，让真相拨云见日？,日本,剧场版,暂无,青山剛昌,暂无,2019-01-05,完结,悬疑 推理 犯罪,悬疑 推理 犯罪,暂无
MARS RED,电视动画《MARS RED》改编自藤泽文翁原创音乐朗读剧，于2020年2月宣布动画化，由SIGNAL.MD负责动画制作，2021年播出。,日本,TV,MARS RED,藤沢文翁,Signal-MD,2021-04-05,完结,奇幻 战斗,奇幻 战斗,https://marsred.tv/
工作细胞 第二季,《工作细胞》TV动画自2018年7月份进行播出之后，因着拟人化的表现方式，将身体内的各种细胞及其职能，生动的表现了出来，这种科普式的动画，深受大家的喜爱。,日本,TV,はたらく細胞 第2期,清水茜,david production,2021-01-09,完结,科幻 战斗,科幻 战斗,http://hataraku-saibou.com/
无能的奈奈,电视动画《无能的奈奈》改编自るーすぼーい原作、古屋庵作画的同名漫画作品，于2020年4月7日宣布了动画化的消息。该片由Bridge负责制作，于2020年10月4日至12月27日播出。中国大陆由bilibili、腾讯视频正版发布，全13集。,日本,TV,無能なナナ,るーすぼーい,Bridge,2020-10-04,完结,奇幻 校园,奇幻 校园,https://munounanana.com/
光辉魔女,电视动画《光辉魔女》是由david productio负责制作，2021年放送予定。,日本,TV,連盟空軍航空魔法音楽隊ルミナスウィッチーズ,島田フミカネ,SHAFT,2022-07,未播放,科幻 百合,科幻 百合,http://w-witch.jp/luminous/
工作细胞BLACK,电视动画《工作细胞BLACK》改编自清水茜监修、原田重光原作、初嘉屋一生作画的同名漫画作品，于2020年4月16日宣布了动画化的消息。动画由LIDENFILMS负责制作，于2021年1月播出。,日本,TV,はたらく細胞BLACK,原田重光 / 初嘉屋一生 / 清水茜,LIDENFILMS,2021-01-09,完结,科幻 战斗,科幻 战斗,https://saibou-black.com/
东京卍复仇者,电视动画《东京卍复仇者》改编自同名漫画，2021年播出。,日本,TV,東京卍リベンジャーズ,和久井健,暂无,2021-04-10,完结,科幻 校园,科幻 校园,https://tokyo-revengers-anime.com/
2.43 清阴高中男子排球部,壁井有可子执笔、山川あいじ插绘的小说《2.43 清阴高校男子排球部》于2019年11月1日宣布动画化。,日本,TV,2.43 清陰高校男子バレー部,壁井有可子,david production,2021-01-07,完结,校园 运动,校园 运动,暂无
转生成为了只有乙女游戏破灭Flag的邪恶大小姐 第二季,TV动画「转生成为了只有乙女游戏破灭Flag的邪恶大小姐…」改编自山口悟著作、ひだかなみ负责插画的同名轻小说作品，于2018年10月19日宣布了动画化的决定。该片由SILVER LINK.负责制作，于2020年4月4日起播出，目前第一季动画的12话已经全部播完。,日本,TV,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった… 第2期,山口悟,SILVER LINK.,2021-07-02,完结,搞笑 奇幻 后宫,搞笑 奇幻 后宫,https://hamehura-anime.com
水星领航员 The CREPUSCOLO,TVアニメ放送開始15周年記念プロジェクト『蒼のカーテンコール』第2章 開幕,日本,剧场版,ARIA The CREPUSCOLO,天野こずえ,J.C.STAFF,2021-03-05,完结,百合 治愈 科幻,百合 治愈 科幻,http://ariacompany.net
桃子男孩渡海而来,电视动画《桃子男孩渡海而来》改编自cool信教者原作、ヨハネ执笔作画的同名漫画作品，于2020年8月7日宣布了动画化的消息。动画由旭production负责制作，于2021年7月播出。,日本,TV,ピーチボーイリバーサイド,クール教信者,旭Production,2021-07-01,完结,奇幻 冒险 战斗,奇幻 冒险 战斗,https://peachboyriverside.com/
神在月的孩子,原创动画电影「神在月のこども」预定于2021年上映，并公开了关键视觉图。,日本,剧场版,神在月のこども,暂无,LIDENFILMS,2021-10-08,未播放,奇幻 治愈,奇幻 治愈,http://kamiari-kodomo.jp
Free!剧场版 -the Final Stroke-,由京阿尼制作，「Free！」完全新作剧场版动画先导PV预告公开！,日本,剧场版,劇場版 Free!-the Final Stroke-,暂无,京都动画,2021-09-17,连载,校园 运动,校园 运动,http://iwatobi-sc.com/
碧蓝航线 微速前进,本作为大家描述在母港里生活的各位舰船的日常生活。一句话剧情,日本,TV,アズールレーン びそくぜんしんっ！,暂无,Yostar Pictures / studio CANDYBOX,2021-01-11,完结,搞笑 科幻 百合 日常,搞笑 科幻 百合 日常,https://azurlane-bisoku.jp
宇崎酱想要玩耍！ 第二季,动画「宇崎酱想要玩耍！」改编自同名漫画作品，2020年7月播出第一季，放送结束后官方宣布将制作第二季，更多情报将在日后公开。,日本,TV,宇崎ちゃんは遊びたい!2,丈,暂无,2022,未播放,搞笑 校园 爱情 治愈,搞笑 校园 爱情 治愈,暂无
赛马娘 Pretty Derby 第二季,电视动画「赛马娘 Pretty Derby」第二季前导PV公开，该作将于2021年放送。,日本,TV,ウマ娘 プリティーダービー Season 2,Cygames,スタジオKAI,2021-01-04,完结,搞笑 运动 竞技 百合,搞笑 运动 竞技 百合,https://anime-umamusume.jp/
记录的地平线 第三季,某日，数万名玩家突然被困在了网游《幻境神话》的世界里！在这个怪物与魔法真实存在的异世界里，被称作“冒险者”的玩家们陷入了混乱，冒险者都市“秋叶原”也逐渐沦为不法之地。,日本,TV,ログ・ホライズン 円卓崩壊,橙乃ままれ,Studio DEEN,2021-01-13,完结,冒险 热血 奇幻 战斗,冒险 热血 奇幻 战斗,https://www6.nhk.or.jp/anime/program/detail.html?i=loghorizon3
青梅竹马绝对不会输的恋爱喜剧,电视动画《青梅竹马绝对不会输的恋爱喜剧》改编自二丸修一创作的同名轻小说，由直谷隆担任导演，动画工房负责动画制作。,日本,TV,幼なじみが絶対に負けないラブコメ,二丸修一,動画工房,2021-04-14,完结,搞笑 校园 青春 恋爱,搞笑 校园 青春 恋爱,https://osamake.com/
银魂 THE FINAL,画电影《银魂 THE FINAL》改编自漫画作品《银魂》，于2021年1月8日在日本上映。,日本,剧场版,銀魂 THE FINAL,空知英秋,暂无,2021-01-08,完结,搞笑 热血 励志 战斗,搞笑 热血 励志 战斗,暂无
堀与宫村,电视动画《堀与宫村》改编自安达浩介著作、萩原大辅创作的同名漫画作品，于2020年9月18日宣布了动画化决定的消息。动画由CloverWorks负责制作。,日本,TV,ホリミヤ,HERO / 萩原ダイスケ,CloverWorks,2021-01-09,完结,搞笑 校园 爱情,搞笑 校园 爱情,https://horimiya-anime.com/
怪病医拉姆尼,TV动画「怪病医Ramune」公开了第1弹PV并同时追加声优：植田佳奈、岡本信彦。本作将于2021年1月播出。,日本,TV,怪病医ラムネ,阿呆トロ,PlatinumVision,2021-01-09,完结,奇幻,奇幻,https://ramune-anime.com/
东京巴比伦 2021,《东京巴比伦 2021》改编自CLAMP创作的漫画作品《东京巴比伦》，GoHands负责动画制作，2021年播出。剧情以2021年的东京为舞台展开。 ,日本,TV,東京BABYLON 2021,CLAMP,GoHands,2021,未播放,奇幻 战斗,奇幻 战斗,https://tokyobabylon2021.jp/
辉夜大小姐想让我告白～天才们的恋爱头脑战～ 第三季,「辉夜大小姐想让我告白」官方公开了第三季及OVA决定制作的预告视频，并发布了官宣图！,日本,TV,かぐや様は告らせたい～天才たちの恋愛頭脳戦～ 第3期,赤坂アカ,A-1 Pictures,2022-04-08,连载,爱情 校园 搞笑,爱情 校园 搞笑,https://kaguya.love/
哥斯拉 奇点,《哥斯拉》完全新作TV动画《哥斯拉：奇点》确定制作，预计将于2021年4月在TOKYO MX上开播，网飞将会先行播出。官方还公开了角色图和哥斯拉的概念图。,日本,TV,ゴジラS.P,暂无,BONES / オレンジ,2021-04-01,连载,科幻 冒险 战争,科幻 冒险 战争,https://godzilla-sp.jp/
天空侵犯,电视动画《天空侵犯》改编自大羽隆广作画同名漫画作品，2020年10月27日宣布动画化决定。,日本,WEB,天空侵犯,三浦追儺,ZERO-G,2021-02-25,完结,科幻 悬疑 战斗,科幻 悬疑 战斗,https://high-rise-invasion.com/
月光下的异世界之旅,电视动画《月光下的异世界之旅》改编自あずみ圭创作的同名轻小说作品，2021年在东京首都电视台、每日放送、BS日视播出。,日本,TV,月が導く異世界道中,あずみ圭,C2C,2021-07-07,完结,奇幻 冒险 后宫,奇幻 冒险 后宫,https://tsukimichi.com/
如果烧陶的话也做个马克杯吧,《如果烧陶的话也做的马克杯吧》是根据プラネット、日本アニメーション漫画作者改编的电视动画。,日本,TV,やくならマグカップも,プラネット / 日本アニメーション,日本アニメーション,2021-04-02,完结,搞笑 校园 百合,搞笑 校园 百合,https://yakumo-project.com/
刀剑神域 进击篇 无星之夜的咏叹调,动画电影《刀剑神域 进击篇 无星之夜的咏叹调》改编自川原砾创作的小说《刀剑神域：进击篇》，由A-1 Pictures负责制作，河野亚矢子担任导演，户谷贤都担任角色设计，甲斐泰之负责动作指导，梶浦由记负责音乐。影片于2021年在日本公映。,日本,剧场版,劇場版 ソードアート・オンライン プログレッシブ 星なき夜のアリア,川原礫,A-1 Pictures,2021-10-30,未播放,奇幻 冒险 战斗,奇幻 冒险 战斗,https://sao-p.net/
纯白之音,电视动画《纯白之音》改编自罗川真里茂创作的同名漫画，由赤城博昭担任导演，加藤环一担任总编剧，真岛次郎担任角色设计，SHIN-EI动画负责动画制作。吉田兄弟还以津轻三味线监修的身份参与了制作。作品于2021年4月起在每日放送、TBS、BS-TBS的“Animeism”版块开播。,日本,TV,ましろのおと,羅川真里茂,シンエイ動画,2021-04-02,完结,校园 青春 爱情,校园 青春 爱情,https://mashironooto-official.com/
夏目友人帐剧场版 唤石者与怪异的访客,动画电影《夏目友人帐：唤石者与怪异的访客》改编自绿川幸原作的漫画作品《夏目友人帐》。该片由朱夏负责制作，于2021年初春在日本上映。,日本,剧场版,夏目友人帳 石起こしと怪しき来訪者,緑川ゆき,朱夏,2021-01-16,完结,搞笑 奇幻 治愈,搞笑 奇幻 治愈,https://anime-natsume2021.com/
悠哉日常大王 第三季,《悠哉日常大王 Nonstop》是改编自あっと原作的漫画《悠哉日常大王》的第2期电视动画。由SILVER LINK.负责动画制作。,日本,TV,のんのんびより のんすとっぷ,あっと,SILVER LINK.,2021-01-10,完结,搞笑 校园 百合 治愈,搞笑 校园 百合 治愈,http://nonnontv.com/tvanime
幼女社长,藤井おでこ著漫画《幼女社长》于2020年10月宣布动画化。,日本,WEB,幼女社長,藤井おでこ,project No.9,2021-01-01,完结,搞笑 职场 泡面番,搞笑 职场 泡面番,https://mujina-company.com/
剧偶像,《剧偶像》是同名多媒体企划的动画作品，由上田繁担任导演，大知庆一郎担任首席编剧，立石圣担任角色设计、总作画监督，今门卓也负责机械设计，Prhythm/epx负责音乐，Hoods Entertainment负责动画制作，2021年1月5日起在AT-X、BS富士播出。作品以自神秘灾害“世界城市同时消失”5年后为舞台，讲述了少女们被使用了“Theatrical Material System”这种3D全息影像的演剧所吸引，以站在舞台上为目标的故事。,日本,TV,ゲキドル,暂无,Hoods Entertainment,2021-01-05,完结,校园 百合 偶像,校园 百合 偶像,http://gekidol.com
ICHU偶像进行曲,视动画《ICHU偶像进行曲》改编自Liber Entertainment发行的同名偶像恋爱音乐手游，于2019年4月动画化决定。,日本,TV,アイ★チュウ,暂无,Lay-duce,2021-01-06,完结,偶像 歌舞 女性向,偶像 歌舞 女性向,https://etoile-anime.jp/
装甲娘战机,电视动画《装甲娘战机》于2019年3月23日-24日举办的AnimeJapan 2019上宣布动画企划启动，由studio A-CAT负责动画制作，于2021年1月6日播出。,日本,TV,装甲娘戦機,暂无,studio A-CAT,2021-01-06,完结,科幻 百合 战斗,科幻 百合 战斗,http://soukou-musume-senki.com/
BEASTARS 第二季,V动画「动物狂想曲」（BEASTARS）目前公开了第二季PV，该作确认将于2021年1月6日正式开播。,日本,TV,BEASTARS 2nd Season,板垣巴留,Orange,2021-01-06,完结,奇幻 校园 爱情,奇幻 校园 爱情,https://bst-anime.com/
约定的梦幻岛 第二季,——自由，是何等美丽，又是何等残酷呢 ,日本,TV,約束のネバーランド 第2期,白井カイウ / 出水ぽすか,CloverWorks,2021-01-07,完结,冒险 悬疑 奇幻,冒险 悬疑 奇幻,http://neverland-anime.com/
WIXOSS DIVA(A)LIVE,《WIXOSS DIVA(A)LIVE》是WIXOSS系列时隔约3年的新作。不过本作将使用与之前的《selector》和《Lostorage》不同的世界观和角色，以被称为“DIVA”的3名分身构成的团队战斗为中心展开，主要讲述作为偶像系“DIVA”No Limit的成员而活跃的主人公的故事。,日本,TV,WIXOSS DIVA(A)LIVE,暂无,J.C.STAFF,2021-01-08,完结,百合 偶像,百合 偶像,http://wixoss-diva.com
大人的防具店 第二季,“诸位冒险者，欢迎来到我的店。这是一家只收集了我兴趣爱好的防具店。女性的各位请慢慢挑选，诸位男性就来一起欣赏她们穿上装备的身姿吧。”故事讲述了在有着这样野心的防具店店主·纳登手下工作的，对女性和魔力耐性极低的店员卡伍兹充满眼福（？）的每一天。,日本,TV,おとなの防具屋さんII,斐宮ふみ,暂无,2021-01-08,完结,搞笑 奇幻 冒险 游戏,搞笑 奇幻 冒险 游戏,https://ganma.jp/g/anime/otonabougu/
魔法科高校的优等生,电视动画《魔法科高中的优等生》改编自佐岛勤创作的同名漫画作品，于2020年12月26日宣布了动画化的消息。,日本,TV,魔法科高校の優等生,佐島勤,CONNECT,2021-07-03,完结,校园 奇幻,校园 奇幻,https://mahouka-yuutousei.jp
重创的伤口,电视动画《重创的伤口》是由铃木信吾执导、八薙玉造担任总编剧、GoHands制作的原创作品，是二次元偶像企划“PROJECT SCARD”的一环。官方于2020年9月6日宣布动画化。该片于2021年1月起播出,日本,TV,プレイタの傷,GoHands / フロンティアワークス,GoHands,2021-01-08,完结,奇幻 女性向,奇幻 女性向,https://project-scard.com/
八十龟酱观察日记 第三季,阵界斗从东京转学到爱知县，原本界斗就是一个土生土长的东京人，转学到爱知后，界斗自己还期待周围的同学会说当地的方言，展现独特的生活习俗，但界斗想的太多，同学并没有什么特别明显的不同。直到界斗遇到后辈八十龟最中，加入了学校的摄影部，才开始真正地接触爱知地区的名古屋文化与名古屋方言，作为土生土长的名古屋人，八十龟最中对于作为东京土著的阵界斗有一种莫名的对抗感，阵界斗与八十龟酱就在轻松的日常中，介绍名古屋的风土人情。,日本,TV,八十亀ちゃんかんさつにっき 3さつめ,安藤正基,Saetta,2021-01-10,连载,搞笑 校园 泡面番,搞笑 校园 泡面番,https://yatogame.nagoya/
暗芝居 第八季,动画《暗芝居》第8期制作决定！,日本,TV,闇芝居 第8期,暂无,暂无,2021-01-10,完结,恐怖 泡面番,恐怖 泡面番,https://www.tv-tokyo.co.jp/anime/yamishibai8/
